id,name,type,url
afp,AFP,인터넷신문,https://www.afp.com
apnews,AP신문,인터넷신문,https://www.apnews.kr
cbs,CBS,인터넷신문,http://www.cbs.co.kr
cnbnews,CNBNEWS,인터넷신문,https://www.cnbnews.com
displayplus,Display Plus,인터넷신문,https://www.displayplus.net
ebn,EBN산업경제,인터넷신문,https://www.ebn.co.kr
embeddedworld,Embedded World,인터넷신문,https://www.embeddedworld.co.kr
galcomm,FM교육방송,인터넷신문,https://www.galcomm.co.il
gqkorea,GQ,인터넷신문,https://www.gqkorea.co.kr
hellodd,HelloDD.com,인터넷신문,https://www.hellodd.com
hellot,HelloT,인터넷신문,https://www.hellot.net
kdinews,IBTV기독방송,인터넷신문,https://kdinews.com
itnews,ITnews,인터넷신문,http://www.itnews.or.kr
itchosun,IT조선,인터넷신문,https://it.chosun.com
koreatimes,Korea Times,인터넷신문,https://www.koreatimes.co.kr
mbceg,MBC강원영동,인터넷신문,https://www.mbceg.co.kr
mbn,MBN,인터넷신문,https://www.mbn.co.kr
pbc,PBC,인터넷신문,http://www.pbc.co.kr
ilovepc,PC사랑,인터넷신문,https://www.ilovepc.co.kr
tvkk,TV경기방송,인터넷신문,http://www.tvkk.co.kr
tvreport,TV리포트,인터넷신문,https://www.tvreport.co.kr
topclass,Top Class,인터넷신문,http://topclass.chosun.com
ybctv,YBC연합방송,인터넷신문,http://www.ybctv.net
bntnews,bnt뉴스,인터넷신문,https://www.bntnews.co.kr
egoodnews,e조은뉴스,인터넷신문,https://egoodnews.kr
igasnet,i가스저널,인터넷신문,https://www.igasnet.com
korearetro,korearetro,인터넷신문,https://www.korearetro.com
press24,press24,인터넷신문,http://www.press24.co.kr
ubc,ubc울산방송,인터넷신문,https://www.ubc.co.kr
gangnamnews,강남신문,인터넷신문,http://gangnamnews.net
kado,강원도민일보,인터넷신문,https://www.kado.net
gameabout,게임어바웃,인터넷신문,http://www.gameabout.com
kgdm,경기도민일보미디어,인터넷신문,https://www.kgdm.co.kr
kgnews,경기신문,인터넷신문,https://www.kgnews.co.kr
idomin,경남도민일보,인터넷신문,https://www.idomin.com
gnnews,경남일보,인터넷신문,https://www.gnnews.co.kr
hidomin,경북도민일보,인터넷신문,https://www.hidomin.com
kyongbuk,경북일보,인터넷신문,https://www.kyongbuk.co.kr
ksilbo,경상일보,인터넷신문,https://www.ksilbo.co.kr
ifm,경인방송,인터넷신문,https://www.ifm.kr
khgames,경향게임스,인터넷신문,https://www.khgames.co.kr
khan,경향신문,종합일간지,https://www.khan.co.kr
koreanews,공무원뉴스,인터넷신문,https://www.korea-news.com
kyosu,교수신문,인터넷신문,https://www.kyosu.net
gyotongn,교통신문,인터넷신문,https://www.gyotongn.com
gnnewsx,구리남양주뉴스,인터넷신문,https://www.gnnews.org
kooaebo,구애보 헬스다이제스트,인터넷신문,http://www.kooaebo.com
kmib,국민일보,종합일간지,http://www.kmib.co.kr
intn,국세신문사,인터넷신문,https://www.intn.co.kr
kookjeilbo,국제일보,인터넷신문,https://www.kookjeilbo.com
gooddailynews,굿데일리,인터넷신문,http://www.gooddailynews.co.kr
globalnewsagency,글로벌뉴스통신,인터넷신문,https://www.globalnewsagency.kr
gbnews,글로벌비즈뉴스,인터넷신문,http://www.gbnews.kr
biznmedia,기업&미디어,인터넷신문,https://biznmedia.com
kihoilbo,기호일보,인터넷신문,https://www.kihoilbo.co.kr
gimpo,김포미래신문,인터넷신문,http://www.gimpo.com
namdonews,남도일보,인터넷신문,https://www.namdonews.com
naewoeilbo,내외일보,인터넷신문,https://www.naewoeilbo.com
nwtnews,내외통신,인터넷신문,http://www.nwtnews.co.kr
naeil,내일신문,종합일간지,https://www.naeil.com
worknworld,노동과세계,인터넷신문,http://worknworld.kctu.org
nodongilbo,노동일보,인터넷신문,http://www.nodongilbo.com
agrinews,농수산무역신문,인터넷신문,http://agrinews.kr
amnews,농축유통신문,인터넷신문,http://www.amnews.co.kr
newssc,뉴스서천,인터넷신문,http://www.newssc.co.kr
newsnjoy,뉴스앤조이,인터넷신문,https://www.newsnjoy.or.kr
newsw,뉴스와이드저널,인터넷신문,https://www.newsw.co.kr
newsjeju,뉴스제주,인터넷신문,https://www.newsjeju.net
nc,뉴스컬쳐,인터넷신문,https://www.nc.press
newskorea,뉴스코리아,인터넷신문,https://www.newskorea.ne.kr
newstown,뉴스타운,인터넷신문,https://www.newstown.co.kr
newstomato,뉴스토마토,인터넷신문,https://www.newstomato.com
ntodayx,뉴스투데이,인터넷신문,https://www.ntoday.net
newstube,뉴스튜브,인터넷신문,http://www.newstube.kr
newspenguin,뉴스펭귄,인터넷신문,https://www.newspenguin.com
newshound7,뉴스하운드,인터넷신문,http://newshound7.blogspot.com
newsis,뉴시스,통신사,https://newsis.com
directsellingkorea,다이렉트셀링,인터넷신문,https://www.directsellingkorea.com
edudaegu,대구교육신문,인터넷신문,http://www.edudaegu.co.kr
idaegux,대구신문,인터넷신문,https://www.idaegu.co.kr
idaegu,대구일보,인터넷신문,https://www.idaegu.com
gocj,대전시티저널,인터넷신문,http://www.gocj.net
daejonilbo,대전일보,인터넷신문,https://www.daejonilbo.com
daejeontoday,대전투데이,인터넷신문,http://www.daejeontoday.com
dhns,대한뉴스,인터넷신문,http://www.dhns.co.kr
daehanilbo,대한일보,인터넷신문,https://www.daehanilbo.co.kr
koscaj,대한전문건설신문,인터넷신문,https://www.koscaj.com
tgdaily,더게임스,인터넷신문,https://www.tgdaily.co.kr
tlnews,더로컬뉴스,인터넷신문,http://www.tl-news.co.kr
thescoop,더스쿠프,인터넷신문,https://www.thescoop.co.kr
xn9m1br3m8xg8xeotb,더조은신문,인터넷신문,http://xn--9m1br3m8xg8xeotb.com
datanet,데이터넷,인터넷신문,https://www.datanet.co.kr
datanews,데이터뉴스,인터넷신문,http://www.datanews.co.kr
kdpress,데일리경제,인터넷신문,https://www.kdpress.co.kr
idailynews,데일리뉴스,인터넷신문,http://www.idailynews.co.kr
dailian,데일리안,인터넷신문,https://www.dailian.co.kr
dailynk,데일리엔케이,인터넷신문,https://www.dailynk.com
ibnnews,데일리연합뉴스,인터넷신문,http://www.ibnnews.net
dailyan,데일리연합뉴스,인터넷신문,https://dailyan.com
dailypennews,데일리펜뉴스,인터넷신문,http://www.dailypennews.co.kr
dentalarirang,덴탈아리랑,인터넷신문,https://www.dentalarirang.com
readersnews,독서신문,인터넷신문,https://www.readersnews.com
donga,동아일보,종합일간지,https://www.donga.com
dynews,동양일보,인터넷신문,https://www.dynews.co.kr
pigpeople,돼지와사람,인터넷신문,https://www.pigpeople.net
dtnews24,디트뉴스24,인터넷신문,http://www.dtnews24.com
ddanzi,딴지일보,인터넷신문,https://www.ddanzi.com
redian,레디앙,인터넷신문,https://www.redian.org
lawleader,로리더(Law Leader),인터넷신문,http://www.lawleader.co.kr
irobotnews,로봇신문,인터넷신문,https://www.irobotnews.com
imaso,마이크로소프트웨어,인터넷신문,https://www.imaso.co.kr
buyersguide,매경바이어스가이드,인터넷신문,https://buyersguide.co.kr
labortoday,매일노동뉴스,인터넷신문,http://www.labortoday.co.kr
imaeil,매일신문,인터넷신문,https://www.imaeil.com
mdtoday,메디컬투데이,인터넷신문,https://www.mdtoday.co.kr
medipana,메디파나뉴스,인터넷신문,https://www.medipana.com
medipharmnews,메디팜뉴스,인터넷신문,https://www.medipharmnews.com
medifonews,메디포뉴스,인터넷신문,https://www.medifonews.com
motorgraph,모터그래프,인터넷신문,https://www.motorgraph.com
mokpotoday,목포투데이,인터넷신문,http://www.mokpotoday.com
munhwa,문화일보,종합일간지,http://www.munhwa.com
mhj21,문화저널21,인터넷신문,https://www.mhj21.com
iculturenews,미디어광명,인터넷신문,https://www.iculturenews.com
mediadale,미디어데일,인터넷신문,http://www.mediadale.com
mediatoday,미디어오늘,미디어방송지,https://www.mediatoday.co.kr/rssIndex.html
futurekorea,미래한국신문,인터넷신문,https://www.futurekorea.co.kr
vop,민중의소리,인터넷신문,https://www.vop.co.kr
theliving,바닥재와 벽지,인터넷신문,https://www.theliving.co.kr
ebaekje,백제뉴스,인터넷신문,https://www.ebaekje.co.kr
lawtimes,법률신문,인터넷신문,https://www.lawtimes.co.kr
beopbo,법보신문,인터넷신문,https://www.beopbo.com
besteleven,베스트일레븐,인터넷신문,https://www.besteleven.com
babynews,베이비뉴스,인터넷신문,https://www.ibabynews.com
betanews,베타뉴스,인터넷신문,https://www.betanews.net
khanews,병원신문,인터넷신문,http://www.khanews.com
bokuennews,보건뉴스,인터넷신문,http://www.bokuennews.com
vogue,보그,인터넷신문,https://www.vogue.co.kr
fins,보험매일,인터넷신문,http://www.fins.co.kr
insweek,보험신보,인터넷신문,https://www.insweek.co.kr
bokjinews,복지뉴스,인터넷신문,http://www.bokjinews.com
bokjitimes,복지타임즈,인터넷신문,http://www.bokjitimes.com
ibuan,부안독립신문,인터넷신문,https://www.ibuan.com
boonyang24,분양정보닷컴,인터넷신문,http://www.boonyang24.com
buddhistnews,불교신문,인터넷신문,https://buddhistnews.net
bloter,블로터닷넷,인터넷신문,https://www.bloter.net
bcpark,비씨파크 뉴스,인터넷신문,https://www.bcpark.net
bizwatch,비즈워치,인터넷신문,https://news.bizwatch.co.kr
businesskorea,비지니스코리아,인터넷신문,https://www.businesskorea.co.kr
thebilliards,빌리어즈,인터넷신문,https://www.thebilliards.kr
signmunhwa,사인문화,인터넷신문,http://www.signmunhwa.co.kr
sjnews,상조장례뉴스,인터넷신문,http://www.sjnews.co.kr
seoulnews,서울뉴스,인터넷신문,https://www.seoulnews.org
snakorea,서울뉴스통신,인터넷신문,http://www.snakorea.com
seoul,서울신문,종합일간지,https://www.seoul.co.kr
seoultoday,서울투데이,인터넷신문,http://www.seoultoday.co.kr
seoulfn,서울파이낸스,인터넷신문,https://www.seoulfn.com
segye,세계일보,종합일간지,https://www.segye.com
webzine,세무사신문,인터넷신문,https://webzine.kacta.or.kr
sjsori,세종의소리,인터넷신문,https://www.sjsori.com
kid,소년조선일보,인터넷신문,http://kid.chosun.com
ytimes,소비자 연합 TIMES,인터넷신문,https://ytimes.kr
susa,수사연구,인터넷신문,https://www.susa.co.kr
smartdaily,스마트데일리,인터넷신문,https://www.smartdaily.kr
stardailynews,스타데일리뉴스,인터넷신문,https://www.stardailynews.co.kr
snmnews,스틸앤메탈뉴스,인터넷신문,https://www.snmnews.com
sportsdonga,스포츠동아,인터넷신문,https://sports.donga.com
sportshankook,스포츠한국,인터넷신문,https://sports.hankooki.com
sportalkorea,스포탈코리아,인터넷신문,https://www.sportalkorea.com
spotvnews,스포티비뉴스,인터넷신문,https://www.spotvnews.co.kr
siminsori,시민의소리,인터넷신문,https://www.siminsori.com
siminilbo,시민일보,인터넷신문,https://www.siminilbo.co.kr
sisanews,시사뉴스,인터넷신문,https://www.sisa-news.com
powere,시사매일,인터넷신문,https://www.powere.co.kr
sisaseoul,시사서울,인터넷신문,https://www.sisaseoul.com
sisaweek,시사위크,인터넷신문,https://www.sisaweek.com
sisain,시사인,시사주간지,https://www.sisain.co.kr
sisajournal,시사저널,시사주간지,https://www.sisajournal.com
sisajournale,시사저널e,인터넷신문,https://www.sisajournal-e.com
sisatime,시사타임,인터넷신문,http://www.sisatime.co.kr
sisafocus,시사포커스,인터넷신문,http://www.sisafocus.co.kr
sisahankook,시사한국,인터넷신문,http://www.sisahankook.co.kr
sisunnews,시선뉴스,인터넷신문,http://www.sisunnews.co.kr
xnp50bo15av1brtd,식약저널,인터넷신문,http://www.xn--p50bo15av1brtd.com
thinkfood,식품음료신문,인터넷신문,https://www.thinkfood.co.kr
shindonga,신동아,시사주간지,https://shindonga.donga.com
shinailbo,신아일보,인터넷신문,https://www.shinailbo.co.kr
asiatoday,아시아투데이,종합일간지,https://www.asiatoday.co.kr
krx,아이비타임즈(IBTimes),인터넷신문,https://kr.ibtimes.com
safetynews,안전신문,인터넷신문,https://www.safetynews.co.kr
alphabiz,알파경제,인터넷신문,https://www.alphabiz.co.kr
kpanews,약사공론,인터넷신문,https://www.kpanews.co.kr
pigtimes,양돈타임스,인터넷신문,http://www.pigtimes.co.kr
econoi,어린이경제신문,인터넷신문,https://www.econoi.com
kids,어린이동아,인터넷신문,https://kids.donga.com
upkoreanews,업코리아,인터넷신문,https://www.upkoreanews.kr
eitimes,에너지산업신문,인터넷신문,https://eitimes.kr
energynews,에너지신문,인터넷신문,https://www.energy-news.co.kr
ertimes,에너지자원신문,인터넷신문,https://www.ertimes.kr
ablenews,에이블뉴스,인터넷신문,http://www.ablenews.co.kr
kr,에이빙,인터넷신문,https://kr.aving.net
epochtimes,에포크타임스,인터넷신문,https://www.epochtimes.kr
entermedia,엔터미디어,인터넷신문,https://www.entermedia.co.kr
cmni,엠뉴스,인터넷신문,http://www.cmni.news
womandonga,여성동아,인터넷신문,https://woman.donga.com
womennews,여성신문,시사주간지,http://www.womennews.co.kr
yeosunews,여수신문,인터넷신문,http://www.yeosunews.net
traveltimes,여행신문,인터넷신문,https://www.traveltimes.co.kr
tvj,연예투데이뉴스,인터넷신문,https://www.tvj.co.kr
yonhapnewstv,연합뉴스TV,인터넷신문,https://www.yonhapnewstv.co.kr
einfomax,연합인포맥스,통신사,https://news.einfomax.co.kr
yntoday,영남투데이,인터넷신문,https://www.yntoday.co.kr
yc24,영천뉴스24,인터넷신문,https://www.yc24.kr
wooriilbo,우리일보,인터넷신문,https://wooriilbo.com
womansense,우먼센스,인터넷신문,https://www.womansense.co.kr/woman
iusm,울산매일UTV,인터넷신문,https://www.iusm.co.kr
ujmadang,울진마당신문,인터넷신문,http://www.ujmadang.com
waterjournal,워터저널,인터넷신문,https://www.waterjournal.co.kr
wonnews,원불교신문,인터넷신문,http://www.wonnews.co.kr
